"energy","zcr","peak","dominant_frequency","spectral_centroid","spectral_bandwidth","label"
36058992,0.228271,778,54,803.90387,604.344482,"clap"
40691636,0.26001,994,52,843.005676,597.143799,"clap"
37511644,0.283936,877,55,832.261597,598.240784,"clap"
35564960,0.32666,868,592,903.706848,587.47699,"clap"
27111784,0.312988,1118,592,883.855591,581.503845,"clap"
29227340,0.306885,799,272,862.174927,584.995789,"clap"
38037592,0.326172,763,168,903.806396,580.924194,"clap"
41963976,0.300293,1030,25,869.444519,582.166626,"clap"
32335268,0.307129,830,281,857.385925,579.541931,"clap"
33993248,0.305664,612,442,845.405945,585.268677,"clap"
33547600,0.290039,1292,442,801.059631,559.231262,"clap"
23659856,0.30127,1063,592,854.914429,592.368896,"clap"
29753320,0.315918,555,592,817.972656,568.535583,"clap"
70378096,0.206787,840,441,698.781799,600.934631,"clap"
67263304,0.202393,740,441,699.817505,594.054504,"clap"
69651968,0.202393,772,441,701.887817,594.456665,"clap"
70318880,0.201904,1460,442,721.460449,601.956543,"clap"
64572448,0.20874,608,442,670.768921,594.934692,"clap"
68533488,0.219971,574,442,726.024414,594.395386,"clap"
71404936,0.219482,953,442,734.46228,579.255676,"clap"
64624392,0.213379,554,442,730.567566,610.295959,"clap"
72811104,0.217529,921,442,808.962402,636.196533,"clap"
66077632,0.218018,744,442,715.260132,590.026917,"clap"
154497440,0.228027,951,441,711.24353,576.630554,"clap"
153085536,0.21875,1019,441,701.675659,581.135071,"clap"
176707984,0.226562,1092,441,704.041809,601.440186,"clap"
157346128,0.221924,1013,441,703.05896,570.651428,"clap"
151714288,0.224121,1259,441,691.472473,569.332336,"clap"
160936336,0.218994,633,441,656.173706,570.653931,"clap"
161098656,0.217529,645,441,666.286499,560.911804,"clap"
163763872,0.21582,1048,441,654.38324,573.741272,"clap"
164359568,0.217041,635,441,671.216919,576.357544,"clap"
158025200,0.217041,966,441,682.455444,581.21521,"clap"
31816928,0.392334,812,586,827.182068,558.473816,"snap"
51815408,0.407471,779,544,856.801697,531.037537,"snap"
35090072,0.419922,742,123,913.582275,579.803101,"snap"
52954992,0.407227,1257,778,832.901245,550.370239,"snap"
62443064,0.375732,653,1,793.746216,558.567322,"snap"
29705332,0.385986,1031,117,722.414612,584.313049,"snap"
13986710,0.444092,791,40,917.091064,578.019592,"snap"
13914978,0.44751,802,581,898.538818,576.095825,"snap"
24555896,0.427734,993,39,842.346313,567.149658,"snap"
13693029,0.416016,781,118,867.187317,592.504089,"snap"
27930720,0.384766,896,33,828.914001,551.01416,"snap"
27455600,0.383301,591,34,817.540588,567.065552,"snap"
25528820,0.403076,758,34,877.584167,564.796936,"snap"
34567988,0.399902,721,732,817.072266,563.321167,"snap"
35976224,0.405029,997,130,842.289856,566.962402,"snap"
18754456,0.401123,962,66,837.788025,612.753418,"snap"
12938867,0.417969,803,34,888.203796,594.850891,"snap"
13752743,0.429199,706,34,896.398254,590.442078,"snap"
19076864,0.406738,902,47,838.623962,592.243469,"snap"
15115096,0.403076,1516,34,875.063171,589.605957,"snap"
46070464,0.400391,979,498,810.540771,537.161377,"snap"
42286928,0.402344,913,496,819.425232,550.37616,"snap"
66362012,0.364014,841,132,772.371338,557.607117,"snap"
37219788,0.41333,612,740,862.486145,563.560486,"snap"
39730128,0.406006,784,34,848.150391,551.55249,"snap"
14857787,0.434082,760,34,871.582642,559.965881,"snap"
16176367,0.433838,751,34,876.026489,573.574463,"snap"
16042313,0.433105,731,34,875.46582,563.6745,"snap"
13920165,0.456299,890,34,888.366882,585.70929,"snap"
16345785,0.430908,816,34,889.421204,573.377258,"snap"
15555297,0.408936,1008,97,840.304504,565.448364,"snap"
16248629,0.420166,894,481,869.435913,557.381531,"snap"
27467288,0.400635,1005,48,769.873901,574.894287,"snap"
14682798,0.447021,1008,275,848.823853,588.521729,"snap"
21112100,0.398926,1513,119,766.836609,581.055481,"snap"
56918668,0.391357,992,127,782.334106,543.134583,"snap"
55182124,0.412598,949,479,853.86322,543.703491,"snap"
57429424,0.362061,886,458,736.965576,530.167603,"snap"
64278216,0.379883,977,500,798.430054,539.79071,"snap"
35428220,0.387207,1519,148,808.153259,562.033752,"snap"
17578468,0.399414,855,111,895.80835,587.139832,"snap"
24959624,0.358154,969,83,804.692444,596.384277,"snap"
14983610,0.381592,672,111,895.425964,588.017639,"snap"
13795279,0.414551,681,167,893.801697,583.879578,"snap"
15258165,0.386963,696,125,870.164246,589.977661,"snap"
25954540,0.389404,863,34,868.246826,557.65918,"snap"
45804688,0.374268,872,102,814.875122,581.704041,"snap"
107217272,0.356201,1012,486,781.622498,527.626953,"snap"
26753620,0.410645,694,613,882.963379,566.610474,"snap"
108338672,0.297363,1583,137,676.150879,568.696289,"snap"
35670380,0.375244,1043,498,892.554749,552.173889,"snap"
40776928,0.416748,1026,113,924.6203,567.221802,"snap"
43737804,0.374756,978,500,836.312622,558.159302,"snap"
49563472,0.369873,988,131,853.323425,563.377563,"snap"
81709464,0.375977,998,653,884.783813,543.05426,"snap"
36654988,0.394043,964,111,864.283386,545.039429,"snap"
29346840,0.395996,908,111,901.456421,543.933838,"snap"
44637244,0.384033,1019,111,881.13501,559.843506,"snap"
