"energy","zcr","peak","dominant_frequency","label"
12728773,0.449463,466,52,"whistle"
90190860,0.511963,912,1853,"whistle"
39181376,0.527588,613,505,"whistle"
13535273,0.491943,294,148,"whistle"
18441019,0.493164,619,169,"whistle"
29862147,0.488281,507,84,"whistle"
74264194,0.517822,767,1921,"whistle"
20298639,0.411133,527,110,"whistle"
217101993,0.420654,1018,513,"whistle"
209114946,0.541016,952,171,"whistle"
202989146,0.557617,1006,517,"whistle"
201939817,0.48584,915,0,"whistle"
158154565,0.54541,949,738,"whistle"
291522000,0.533203,982,505,"whistle"
85314906,0.540039,875,110,"whistle"
133589853,0.540771,993,110,"whistle"
75766065,0.527832,881,110,"whistle"
83791327,0.550781,896,110,"whistle"
235980805,0.509766,983,553,"whistle"
173544423,0.496094,964,516,"whistle"
185382304,0.494873,1056,644,"whistle"
195005764,0.516357,996,508,"whistle"
164319231,0.520264,986,187,"whistle"
226423234,0.460938,942,515,"whistle"
68414065,0.514648,681,515,"whistle"
52668213,0.524902,682,517,"whistle"
120805391,0.523438,1017,166,"whistle"
37785329,0.502441,703,519,"whistle"
211239478,0.52417,1045,710,"whistle"
148384509,0.51123,1032,1925,"whistle"
190728569,0.562988,997,1737,"whistle"
98034721,0.4729,1142,538,"whistle"
179871757,0.543701,1005,110,"whistle"
39405214,0.487061,997,110,"whistle"
27130387,0.48584,1517,110,"whistle"
18226621,0.445557,1519,110,"whistle"
76221319,0.496094,1311,110,"whistle"
32348480,0.499756,1015,497,"whistle"
55421112,0.444824,1090,149,"door"
19615706,0.45874,948,173,"door"
43651417,0.442383,945,22,"door"
20595877,0.439453,786,162,"door"
55443649,0.470947,880,111,"door"
17841102,0.472168,890,49,"door"
65149585,0.44458,1005,41,"door"
15992900,0.460205,909,49,"door"
77315886,0.438721,1032,152,"door"
30630277,0.447998,1022,33,"door"
58544572,0.447754,1001,105,"door"
28153508,0.438721,922,36,"door"
21238275,0.418701,976,37,"door"
41748111,0.41626,1072,35,"door"
35630596,0.431396,853,58,"door"
17322332,0.371826,1009,22,"door"
12216779,0.458496,666,61,"door"
29586246,0.436523,1085,116,"door"
22239540,0.458984,612,24,"door"
15400121,0.443359,931,73,"door"
38100426,0.445312,941,825,"door"
39371542,0.464844,981,825,"door"
13682878,0.431396,492,58,"door"
39044902,0.445557,721,54,"door"
12588851,0.449463,317,30,"door"
11271974,0.443604,440,53,"door"
21460649,0.453369,437,76,"door"
27051598,0.462891,539,106,"door"
12416633,0.442627,619,42,"door"
27590899,0.464355,663,45,"door"
35340746,0.40918,878,50,"door"
32803839,0.421875,966,155,"door"
34260147,0.450439,908,110,"door"
12885882,0.422607,450,109,"door"
19032106,0.38916,537,62,"door"
19949296,0.4375,603,37,"door"
16832436,0.419922,544,51,"door"
11519507,0.428955,625,110,"door"
11045829,0.44458,646,67,"door"
24083255,0.455078,633,46,"door"
49808270,0.447266,1215,454,"door"
28292519,0.4375,922,296,"door"
27955852,0.402344,1356,173,"door"
46980299,0.431396,1090,297,"door"
48171092,0.45874,833,893,"door"
37657372,0.406006,1521,296,"door"
44351422,0.430908,959,296,"door"
16424103,0.405273,915,109,"door"
18550098,0.372803,1214,110,"door"
43890831,0.443359,901,110,"door"
62156737,0.448486,1005,42,"door"
21623583,0.435303,712,19,"door"
23940249,0.429932,710,56,"door"
57283075,0.415283,769,31,"door"
28560135,0.427246,586,41,"door"
14323680,0.422607,1055,24,"door"
10620143,0.452393,890,71,"door"
65274631,0.453369,924,972,"door"
44859853,0.451416,950,18,"door"
